Date,Temperature,Moisture,Watering
2023-05-19, 36, 64, 155
2023-04-26, 31, 60, 164
2023-04-03, 39, 61, 146
2023-04-22, 35, 73, 151
2023-07-03, 31, 70, 136
2023-05-08, 37, 65, 174
2023-06-17, 33, 80, 172
2023-04-15, 25, 83, 169
2023-07-15, 29, 72, 153
2023-07-25, 40, 72, 158
2023-07-29, 34, 74, 189
2023-06-05, 38, 78, 169
2023-05-30, 40, 80, 163
2023-08-16, 36, 60, 145
2023-05-18, 30, 83, 198
2023-05-01, 28, 55, 153
2023-07-27, 35, 74, 149
2023-04-07, 35, 51, 154
2023-06-20, 33, 44, 161
2023-07-26, 25, 83, 181
2023-06-09, 39, 80, 189
2023-04-20, 28, 84, 182
2023-06-27, 30, 69, 148
2023-06-24, 34, 55, 177
2023-08-21, 30, 52, 175
2023-08-17, 36, 46, 167
2023-08-29, 27, 62, 154
2023-08-01, 33, 84, 133
2023-06-18, 28, 52, 177
2023-04-08, 33, 60, 153
2023-05-10, 34, 70, 137
2023-05-17, 33, 76, 187
2023-08-14, 35, 75, 131
2023-05-24, 38, 76, 133
2023-06-08, 32, 63, 151
2023-08-30, 31, 69, 198
2023-05-23, 36, 74, 185
2023-05-09, 28, 56, 195
2023-05-06, 31, 47, 147
2023-04-19, 34, 45, 192
2023-08-20, 25, 59, 148
2023-08-10, 26, 63, 160
2023-06-04, 27, 83, 191
2023-07-06, 30, 59, 145
2023-04-02, 36, 44, 183
2023-07-07, 37, 69, 189
2023-06-12, 39, 73, 179
2023-08-18, 30, 85, 159
2023-08-27, 28, 55, 155
2023-05-16, 35, 58, 181
2023-04-23, 36, 64, 169
2023-07-24, 25, 54, 148
2023-07-16, 32, 54, 190
2023-06-01, 34, 64, 191
2023-08-15, 39, 52, 151
2023-07-30, 26, 85, 168
2023-07-12, 27, 55, 174
2023-05-04, 34, 80, 179
2023-05-14, 27, 74, 147
2023-08-08, 30, 48, 155
2023-05-05, 28, 72, 163
2023-08-11, 40, 68, 144
2023-05-15, 37, 66, 183
2023-04-24, 28, 78, 150
2023-06-10, 28, 53, 184
2023-08-04, 40, 78, 170
2023-07-28, 31, 60, 177
2023-08-25, 32, 40, 134
2023-07-04, 39, 69, 173
2023-07-02, 39, 45, 158
2023-08-07, 30, 80, 145
2023-06-16, 26, 53, 135
2023-04-30, 33, 63, 179
2023-07-31, 34, 78, 146
2023-05-28, 29, 68, 198
2023-04-04, 32, 47, 143
2023-06-25, 31, 40, 197
2023-07-17, 32, 66, 140
2023-04-11, 30, 64, 198
2023-04-21, 32, 75, 198
2023-07-11, 34, 46, 147
2023-06-03, 37, 52, 153
2023-05-27, 37, 56, 199
2023-04-13, 34, 66, 174
2023-07-18, 26, 54, 170
2023-04-09, 32, 43, 167
2023-07-05, 33, 63, 170
2023-06-30, 32, 70, 183
2023-08-26, 40, 70, 136
2023-06-23, 40, 41, 164
2023-06-19, 34, 85, 153
2023-04-25, 32, 59, 183
2023-07-20, 32, 69, 143
2023-05-26, 29, 48, 176
2023-07-01, 37, 67, 173
2023-08-05, 25, 59, 190
2023-05-13, 33, 85, 169
2023-06-29, 28, 69, 182
2023-04-12, 29, 50, 191
2023-05-11, 40, 70, 133
2023-07-08, 35, 57, 175
2023-04-28, 32, 70, 141
2023-04-27, 40, 41, 186
2023-05-29, 29, 45, 196
2023-06-11, 27, 49, 154
2023-04-17, 34, 79, 153
2023-04-14, 35, 66, 176
2023-06-22, 26, 57, 193
2023-07-21, 33, 65, 197
2023-08-24, 29, 69, 130
2023-05-02, 27, 55, 142
2023-08-12, 37, 76, 193
2023-05-07, 30, 82, 182
2023-06-06, 26, 70, 152
2023-08-06, 38, 55, 131
2023-05-12, 37, 71, 154
2023-07-09, 33, 44, 183
2023-06-14, 26, 58, 171
2023-06-07, 34, 48, 139
2023-04-29, 30, 79, 192
2023-06-15, 34, 69, 186
2023-05-22, 39, 48, 177
